,Unique ID ,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4
0,1,,Automotive,Automotive,,,
1,2,1,Auto Body Styles,Automotive,Auto Body Styles,,
2,3,2,Commercial Trucks,Automotive,Auto Body Styles,Commercial Trucks,
3,4,2,Sedan,Automotive,Auto Body Styles,Sedan,
4,5,2,Station Wagon,Automotive,Auto Body Styles,Station Wagon,
5,6,2,SUV,Automotive,Auto Body Styles,SUV,
6,7,2,Van,Automotive,Auto Body Styles,Van,
7,8,2,Convertible,Automotive,Auto Body Styles,Convertible,
8,9,2,Coupe,Automotive,Auto Body Styles,Coupe,
9,10,2,Crossover,Automotive,Auto Body Styles,Crossover,
10,11,2,Hatchback,Automotive,Auto Body Styles,Hatchback,
11,12,2,Microcar,Automotive,Auto Body Styles,Microcar,
12,13,2,Minivan,Automotive,Auto Body Styles,Minivan,
13,14,2,Off-Road Vehicles,Automotive,Auto Body Styles,Off-Road Vehicles,
14,15,2,Pickup Trucks,Automotive,Auto Body Styles,Pickup Trucks,
15,16,1,Auto Type,Automotive,Auto Type,,
16,17,16,Budget Cars,Automotive,Auto Type,Budget Cars,
17,18,16,Certified Pre-Owned Cars,Automotive,Auto Type,Certified Pre-Owned Cars,
18,19,16,Classic Cars,Automotive,Auto Type,Classic Cars,
19,20,16,Concept Cars,Automotive,Auto Type,Concept Cars,
20,21,16,Driverless Cars,Automotive,Auto Type,Driverless Cars,
21,22,16,Green Vehicles,Automotive,Auto Type,Green Vehicles,
22,23,16,Luxury Cars,Automotive,Auto Type,Luxury Cars,
23,24,16,Performance Cars,Automotive,Auto Type,Performance Cars,
24,25,1,Car Culture,Automotive,Car Culture,,
25,26,1,Dash Cam Videos,Automotive,Dash Cam Videos,,
26,27,1,Motorcycles,Automotive,Motorcycles,,
27,28,1,Road-Side Assistance,Automotive,Road-Side Assistance,,
28,29,1,Scooters,Automotive,Scooters,,
29,30,1,Auto Buying and Selling,Automotive,Auto Buying and Selling,,
30,31,1,Auto Insurance,Automotive,Auto Insurance,,
31,32,1,Auto Parts,Automotive,Auto Parts,,
32,33,1,Auto Recalls,Automotive,Auto Recalls,,
33,34,1,Auto Repair,Automotive,Auto Repair,,
34,35,1,Auto Safety,Automotive,Auto Safety,,
35,36,1,Auto Shows,Automotive,Auto Shows,,
36,37,1,Auto Technology,Automotive,Auto Technology,,
37,38,37,Auto Infotainment Technologies,Automotive,Auto Technology,Auto Infotainment Technologies,
38,39,37,Auto Navigation Systems,Automotive,Auto Technology,Auto Navigation Systems,
39,40,37,Auto Safety Technologies,Automotive,Auto Technology,Auto Safety Technologies,
40,41,1,Auto Rentals,Automotive,Auto Rentals,,
41,42,,Books and Literature,Books and Literature,,,
42,43,42,Art and Photography,Books and Literature,Art and Photography,,
43,46,42,Comics and Graphic Novels,Books and Literature,Comics and Graphic Novels,,
44,48,42,Fiction,Books and Literature,Fiction,,
45,49,42,Poetry,Books and Literature,Poetry,,
46,52,,Business and Finance,Business and Finance,,,
47,53,52,Business,Business and Finance,Business,,
48,54,53,Business Accounting & Finance,Business and Finance,Business,Business Accounting & Finance,
49,55,53,Human Resources,Business and Finance,Business,Human Resources,
50,56,53,Large Business,Business and Finance,Business,Large Business,
51,57,53,Logistics,Business and Finance,Business,Logistics,
52,58,53,Marketing and Advertising,Business and Finance,Business,Marketing and Advertising,
53,59,53,Sales,Business and Finance,Business,Sales,
54,60,53,Small and Medium-sized Business,Business and Finance,Business,Small and Medium-sized Business,
55,61,53,Startups,Business and Finance,Business,Startups,
56,62,53,Business Administration,Business and Finance,Business,Business Administration,
57,63,53,Business Banking & Finance,Business and Finance,Business,Business Banking & Finance,
58,64,63,Angel Investment,Business and Finance,Business,Business Banking & Finance,Angel Investment
59,65,63,Bankruptcy,Business and Finance,Business,Business Banking & Finance,Bankruptcy
60,66,63,Business Loans,Business and Finance,Business,Business Banking & Finance,Business Loans
61,67,63,Debt Factoring & Invoice Discounting,Business and Finance,Business,Business Banking & Finance,Debt Factoring & Invoice Discounting
62,68,63,Mergers and Acquisitions,Business and Finance,Business,Business Banking & Finance,Mergers and Acquisitions
63,69,63,Private Equity,Business and Finance,Business,Business Banking & Finance,Private Equity
64,70,63,Sale & Lease Back,Business and Finance,Business,Business Banking & Finance,Sale & Lease Back
65,71,63,Venture Capital,Business and Finance,Business,Business Banking & Finance,Venture Capital
66,72,53,Business I.T.,Business and Finance,Business,Business I.T.,
67,73,53,Business Operations,Business and Finance,Business,Business Operations,
68,74,53,Consumer Issues,Business and Finance,Business,Consumer Issues,
69,75,74,Recalls,Business and Finance,Business,Consumer Issues,Recalls
70,76,53,Executive Leadership & Management,Business and Finance,Business,Executive Leadership & Management,
71,77,53,Government Business,Business and Finance,Business,Government Business,
72,78,53,Green Solutions,Business and Finance,Business,Green Solutions,
73,79,53,Business Utilities,Business and Finance,Business,Business Utilities,
74,80,52,Economy,Business and Finance,Economy,,
75,81,80,Commodities,Business and Finance,Economy,Commodities,
76,82,80,Currencies,Business and Finance,Economy,Currencies,
77,83,80,Financial Crisis,Business and Finance,Economy,Financial Crisis,
78,84,80,Financial Reform,Business and Finance,Economy,Financial Reform,
79,85,80,Financial Regulation,Business and Finance,Economy,Financial Regulation,
80,86,80,Gasoline Prices,Business and Finance,Economy,Gasoline Prices,
81,87,80,Housing Market,Business and Finance,Economy,Housing Market,
82,88,80,Interest Rates,Business and Finance,Economy,Interest Rates,
83,89,80,Job Market,Business and Finance,Economy,Job Market,
84,90,52,Industries,Business and Finance,Industries,,
85,91,90,Advertising Industry,Business and Finance,Industries,Advertising Industry,
86,92,90,Education industry,Business and Finance,Industries,Education industry,
87,93,90,Entertainment Industry,Business and Finance,Industries,Entertainment Industry,
88,94,90,Environmental Services Industry,Business and Finance,Industries,Environmental Services Industry,
89,95,90,Financial Industry,Business and Finance,Industries,Financial Industry,
90,96,90,Food Industry,Business and Finance,Industries,Food Industry,
91,97,90,Healthcare Industry,Business and Finance,Industries,Healthcare Industry,
92,98,90,Hospitality Industry,Business and Finance,Industries,Hospitality Industry,
93,99,90,Information Services Industry,Business and Finance,Industries,Information Services Industry,
94,100,90,Legal Services Industry,Business and Finance,Industries,Legal Services Industry,
95,101,90,Logistics and Transportation Industry,Business and Finance,Industries,Logistics and Transportation Industry,
96,102,90,Agriculture,Business and Finance,Industries,Agriculture,
97,103,90,Management Consulting Industry,Business and Finance,Industries,Management Consulting Industry,
98,104,90,Manufacturing Industry,Business and Finance,Industries,Manufacturing Industry,
99,105,90,Mechanical and Industrial Engineering Industry,Business and Finance,Industries,Mechanical and Industrial Engineering Industry,
100,106,90,Media Industry,Business and Finance,Industries,Media Industry,
101,107,90,Metals Industry,Business and Finance,Industries,Metals Industry,
102,108,90,Non-Profit Organizations,Business and Finance,Industries,Non-Profit Organizations,
103,109,90,Pharmaceutical Industry,Business and Finance,Industries,Pharmaceutical Industry,
104,110,90,Power and Energy Industry,Business and Finance,Industries,Power and Energy Industry,
105,111,90,Publishing Industry,Business and Finance,Industries,Publishing Industry,
106,112,90,Real Estate Industry,Business and Finance,Industries,Real Estate Industry,
107,113,90,Apparel Industry,Business and Finance,Industries,Apparel Industry,
108,114,90,Retail Industry,Business and Finance,Industries,Retail Industry,
109,115,90,Technology Industry,Business and Finance,Industries,Technology Industry,
110,116,90,Telecommunications Industry,Business and Finance,Industries,Telecommunications Industry,
111,117,90,Automotive Industry,Business and Finance,Industries,Automotive Industry,
112,118,90,Aviation Industry,Business and Finance,Industries,Aviation Industry,
113,119,90,Biotech and Biomedical Industry,Business and Finance,Industries,Biotech and Biomedical Industry,
114,120,90,Civil Engineering Industry,Business and Finance,Industries,Civil Engineering Industry,
115,121,90,Construction Industry,Business and Finance,Industries,Construction Industry,
116,122,90,Defense Industry,Business and Finance,Industries,Defense Industry,
117,123,,Careers,Careers,,,
118,124,123,Apprenticeships,Careers,Apprenticeships,,
119,125,123,Career Advice,Careers,Career Advice,,
120,126,123,Career Planning,Careers,Career Planning,,
121,127,123,Job Search,Careers,Job Search,,
122,128,127,Job Fairs,Careers,Job Search,Job Fairs,
123,129,127,Resume Writing and Advice,Careers,Job Search,Resume Writing and Advice,
124,130,123,Remote Working,Careers,Remote Working,,
125,131,123,Vocational Training,Careers,Vocational Training,,
126,132,,Education,Education,,,
127,133,132,Adult Education,Education,Adult Education,,
128,134,132,Private School,Education,Private School,,
129,135,132,Secondary Education,Education,Secondary Education,,
130,136,132,Special Education,Education,Special Education,,
131,137,132,College Education,Education,College Education,,
132,138,137,College Planning,Education,College Education,College Planning,
133,139,137,Postgraduate Education,Education,College Education,Postgraduate Education,
134,140,139,Professional School,Education,College Education,Postgraduate Education,Professional School
135,141,137,Undergraduate Education,Education,College Education,Undergraduate Education,
136,142,132,Early Childhood Education,Education,Early Childhood Education,,
137,143,132,Educational Assessment,Education,Educational Assessment,,
138,144,143,Standardized Testing,Education,Educational Assessment,Standardized Testing,
139,145,132,Homeschooling,Education,Homeschooling,,
140,146,132,Homework and Study,Education,Homework and Study,,
141,147,132,Language Learning,Education,Language Learning,,
142,148,132,Online Education,Education,Online Education,,
143,149,132,Primary Education,Education,Primary Education,,
144,8VZQHL,,Events,Events,,,
145,162,8VZQHL,Awards Shows,Events,Awards Shows,,
146,180,8VZQHL,Business Expos & Conferences,Events,Business Expos & Conferences,,
147,185,8VZQHL,Fan Conventions,Events,Fan Conventions,,
148,1KXCLD,,Holidays,Holidays,,,
149,157,1KXCLD,National & Civic Holidays,Holidays,National & Civic Holidays,,
150,150,150,Attractions,Attractions,,,
151,151,150,Amusement and Theme Parks,Attractions,Amusement and Theme Parks,,
152,153,150,Historic Site and Landmark Tours,Attractions,Historic Site and Landmark Tours,,
153,154,150,Malls & Shopping Centers,Attractions,Malls & Shopping Centers,,
